course_name,course_num,title,department,credit_hours,course_description,prereq,theme,subtheme
ACCT,658,Advanced Accounting Data Analytics,Accounting,3,"Conceptual and practical understanding of data analytics that may be encountered in accounting careers; survey of state-of-the-art methods (including visualization, automation, and machine learning) which are applied to financial data used by internal and external business stakeholders.",Graduate classification,Research Skills,Data Analytics & Computational Methods
AFST,651,Cultural Psychology,Africana Studies,3,"Surveys key readings in the field of cultural psychology; discussion and examination of relationship between psychological processes (e.g., motivation, memory, self perception, prejudice) and sociocultural contexts. Cross Listing: PBSI 651",Enrollment in a graduate program or approval of instructor.,Research Skills,Measurement & Survey Design
AGEC,607,Research Methodology,Agricultural Economics,3,"Scientific method in economic research: problem identification and selection, hypothesis testing, assumptions, model selection, data communication; evaluation of research studies and development of thesis prospectus or equivalent.",MS or PhD graduate classification.,Research Skills,Evaluation & Cost Analysis
ALEC,622,"Data Collection, Analysis, and Interpretation in Research in ALEC","Agricultural Leadership, Education, and Communications",3,"Data Collection, Analysis, and Interpretation in Research in Agricultural Leadership, Education, and Communications. Principles and techniques of data collection, analysis, and interpretation in agricultural leadership, education, and communications; interpretation and implications of findings/results in relation to current research; data analysis performed using statistical package software; collection, analysis, and interpretation to conform to published research in agricultural leadership, education, and communications.",Research methods and basic statistics courses; graduate classification,Communication & Influence,Stakeholder Engagement & Public Communication
ALEC,625,Program Evaluation and Organizational Accountability,"Agricultural Leadership, Education, and Communications",3,"Examines the philosophy, methods, and issues of accountability and evaluation necessary to meet expectations of institutional mandates. Special emphasis on analytical tools and performance measures.",Graduate classification,Research Skills,Evaluation & Cost Analysis
ALEC,650,Science Communication and Public Engagement,"Agricultural Leadership, Education, and Communications",3,"Public engagement of science; communicating effectively about science, technology, engineering, and math; application of basics of science communication; conducting science communication research; influencing science through digital media.",Graduate classification,Communication & Influence,Stakeholder Engagement & Public Communication
ALEC,696,Qualitative Research Methods,"Agricultural Leadership, Education, and Communications",3,"Overview of qualitative research in agricultural education including conducting a literature review, writing a working hypothesis, keeping methodological and reflexive journals, developing data gathering tools, performing data analysis, ensuring trustworthiness measures, and writing a research manuscript.","ALEC 690 or ALEC 695; Graduate Classification",Research Skills,Qualitative
ANLY,608,Linear and Logistic Regression and Visualization,Analytics,.,Application and validation of linear and logistic regression in machine learning; regression visualization; identification of outliers; identification of model shortcomings; missing value imputation; data transformations; making valid inferences and drawing business conclusions to recommend business actions on basis of fitted models.,Prerequisites: Enrollment in Masters of Science in Analytics,Research Skills,Data Analytics & Computational Methods
ANLY,601,Advanced Coding for Data Analytics,Analytics,.,"Advanced coding libraries used for data science; coding the data analysis pipeline; data munging, visualization, modeling, model validation and machine learning.",Enrollment in Masters of Science in Analytics Program,Research Skills,Data Analytics & Computational Methods
ANLY,605,Visualizing and Understanding Data with Modern Tools,Analytics,.,"Navigation and use of various features of modern tools; assessment of data quality and performance of diagnostic analysis; creation and design of visualizations and dashboards for target audiences; data-driven business decision-making based on concepts and models from statistics, econometrics and machine learning.",Enrollment in Masters of Science in Analytics Program,Research Skills,Data Analytics & Computational Methods
